Tipo_Error,Archivo,Linea,Valor_Error,Descripción
Advertencia,AM,204,19925327-01,Este valor no esta en el archivo de códigos
Advertencia,AM,205,19924350-01,Este valor no esta en el archivo de códigos
Advertencia,AM,206,17145-02,Este valor no esta en el archivo de códigos
Advertencia,AM,207,19934768-10,Este valor no esta en el archivo de códigos
Advertencia,AM,208,23947-02,Este valor no esta en el archivo de códigos
Advertencia,AM,209,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,210,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,211,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,212,C02CP026011,Este valor no esta en el archivo de códigos
Advertencia,AM,213,19942648-01,Este valor no esta en el archivo de códigos
Advertencia,AM,214,G03DM004011,Este valor no esta en el archivo de códigos
Advertencia,AM,215,G03AC06,Este valor no esta en el archivo de códigos
Advertencia,AM,216,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,217,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,218,H03AL006011,Este valor no esta en el archivo de códigos
Advertencia,AM,219,A11CC003101,Este valor no esta en el archivo de códigos
Advertencia,AM,220,19905554-04,Este valor no esta en el archivo de códigos
Advertencia,AM,221,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,222,C07AM017162,Este valor no esta en el archivo de códigos
Advertencia,AM,223,17134-01,Este valor no esta en el archivo de códigos
Advertencia,AM,224,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,225,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,226,A02BO002101,Este valor no esta en el archivo de códigos
Advertencia,AM,227,A11DT009141,Este valor no esta en el archivo de códigos
Advertencia,AM,228,N05AC032013,Este valor no esta en el archivo de códigos
Advertencia,AM,229,19917705-02,Este valor no esta en el archivo de códigos
Advertencia,AM,230,C07AM017161,Este valor no esta en el archivo de códigos
Advertencia,AM,231,C03AH006011,Este valor no esta en el archivo de códigos
Advertencia,AM,232,19936296-05,Este valor no esta en el archivo de códigos
Advertencia,AM,233,19962943-01,Este valor no esta en el archivo de códigos
Advertencia,AM,234,N02BA001011,Este valor no esta en el archivo de códigos
